Merians	Tips	Child_node	Event
M24,MZ	Polyommatus_icarus	Polyommatus_icarus	fusion
M27,M6	Selenia_dentaria	Selenia_dentaria	fusion
M25,MZ	Spilosoma_lubricipeda	Spilosoma_lubricipeda	fusion
M16,M9	Thera_britannica	Thera_britannica	fusion
M3,M30	Thera_britannica	Thera_britannica	fusion
M15,M5	Thera_britannica	Thera_britannica	fusion
M24,M8	Thera_britannica	Thera_britannica	fusion
M14,M6	Thera_britannica	Thera_britannica	fusion
M10,M12	Thera_britannica	Thera_britannica	fusion
M26,M29	Thera_britannica	Thera_britannica	fusion
M13,M19	Thera_britannica	Thera_britannica	fusion
M23,M27	Thera_britannica	Thera_britannica	fusion
M28,M31,M7	Thera_britannica	Thera_britannica	fusion
M26,MZ	Thymelicus_sylvestris	Thymelicus_sylvestris	fusion
M29,MZ	Tinea_trinotella	Tinea_trinotella	fusion
M30,M31	Zygaena_filipendulae	Zygaena_filipendulae	fusion
